	0
0	5- 170- 51- 22- 79- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295
1	5- 170- 51- 22- 79- 161- 174- 179- 440- 184- 55- 58- 295
2	5- 170- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295
3	5- 170- 161- 174- 179- 37- 440- 184- 55- 58- 295
4	5- 170- 161- 174- 179- 37- 47- 184- 55- 58- 295
5	5- 170- 161- 174- 179- 37- 47- 440- 184- 58- 295
6	5- 170- 174- 179- 37- 47- 440- 184- 55- 295
7	5- 170- 161- 174- 179- 37- 47- 440- 184- 55- 295
8	5- 170- 161- 174- 179- 47- 440- 184- 55- 295
9	5- 170- 161- 184- 55- 295
10	295
11	58- 295
12	55- 295
13	55- 58- 295
14	184- 58- 295
15	184- 55- 295
16	184- 55- 58- 295
17	440- 184- 55- 58- 295
18	47- 440- 184- 55- 58- 295
19	37- 47- 440- 184- 55- 58- 295
20	179- 37- 47- 440- 184- 55- 295
21	179- 37- 47- 440- 184- 55- 58- 295
22	174- 179- 37- 47- 440- 184- 58- 295
23	174- 179- 37- 47- 440- 184- 55- 58- 295
24	161- 184- 55- 295
25	161- 174- 179- 37- 47- 440- 184- 55- 58- 295
26	170- 161- 58- 295
27	170- 161- 184- 55- 295
28	170- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295
29	5
30	5- 295
31	5- 58- 295
32	5- 55- 295
33	5- 55- 58- 295
34	5- 184- 55- 295
35	5- 184- 55- 58- 295
36	5- 440- 184- 55- 58- 295
37	5- 47- 440- 184- 55- 295
38	5- 47- 440- 184- 55- 58- 295
39	5- 37- 47- 440- 58- 295
40	5- 37- 47- 440- 184- 55- 58- 295
41	5- 179- 37- 440- 184- 55- 58- 295
42	5- 179- 37- 47- 440- 184- 55- 58- 295
43	5- 174- 58- 295
44	5- 174- 179- 58- 295
45	5- 174- 179- 37- 47- 440- 184- 55- 58- 295
46	5- 161- 295
47	5- 161- 174- 179- 37- 47- 440- 184- 55- 295
48	5- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295
49	5- 170
50	5- 170- 295
51	5- 170- 58- 295
52	5- 170- 55- 295
53	5- 170- 55- 58- 295
54	5- 170- 184- 55- 295
55	5- 170- 184- 55- 58- 295
56	5- 170- 440- 184- 55- 58- 295
57	5- 170- 47- 440- 184- 55
58	5- 170- 47- 440- 184- 55- 58- 295
59	5- 170- 37- 47- 440- 184- 55- 58- 295
60	5- 170- 174- 179- 58- 295
61	5- 170- 174- 179- 47- 440- 184- 55- 295
62	5- 170- 174- 179- 37- 47
63	5- 170- 174- 179- 37- 47- 440- 184- 55- 58- 295
64	5- 170- 161
65	5- 170- 161- 295
66	5- 170- 161- 58- 295
67	5- 170- 161- 55- 295
68	5- 170- 161- 55- 58- 295
69	5- 170- 161- 184- 295
70	5- 170- 161- 184- 55
71	5- 170- 161- 184- 55- 58- 295
72	5- 170- 161- 440- 184- 58- 295
73	5- 170- 161- 440- 184- 55- 58- 295
74	5- 170- 161- 47- 440- 184- 55- 58- 295
75	5- 170- 161- 179- 37- 47- 440- 184- 55- 58- 295
76	5- 170- 161- 174
77	5- 170- 161- 174- 295
78	5- 170- 161- 174- 58
79	5- 170- 161- 174- 58- 295
80	5- 170- 161- 174- 55- 295
81	5- 170- 161- 174- 55- 58- 295
82	5- 170- 161- 174- 184- 295
83	5- 170- 161- 174- 184- 55- 58- 295
84	5- 170- 161- 174- 440- 184
85	5- 170- 161- 174- 440- 184- 55- 58- 295
86	5- 170- 161- 174- 47- 440- 184- 55- 58- 295
87	5- 170- 161- 174- 37- 47- 440- 184- 55- 58- 295
88	5- 170- 161- 174- 179
89	5- 170- 161- 174- 179- 58- 295
90	5- 170- 161- 174- 179- 55- 58- 295
91	5- 170- 161- 174- 179- 184- 295
92	5- 170- 161- 174- 179- 184- 55- 295
93	5- 170- 161- 174- 179- 440- 184- 55- 58- 295
94	5- 170- 161- 174- 179- 47- 58- 295
95	5- 170- 161- 174- 179- 47- 440
96	5- 170- 161- 174- 179- 47- 440- 184- 58- 295
97	5- 170- 161- 174- 179- 47- 440- 184- 55- 58- 295
98	5- 170- 161- 174- 179- 37
99	5- 170- 161- 174- 179- 37- 295
100	5- 170- 161- 174- 179- 37- 58- 295
101	5- 170- 161- 174- 179- 37- 55- 295
102	5- 170- 161- 174- 179- 37- 55- 58- 295
103	5- 170- 161- 174- 179- 37- 440- 184- 58- 295
104	5- 170- 161- 174- 179- 37- 440- 184- 55- 295
105	5- 170- 161- 174- 179- 37- 47- 58- 295
106	5- 170- 161- 174- 179- 37- 47- 55- 58- 295
107	5- 170- 161- 174- 179- 37- 47- 184- 55
108	5- 170- 161- 174- 179- 37- 47- 184- 55- 295
109	5- 170- 161- 174- 179- 37- 47- 440
110	5- 170- 161- 174- 179- 37- 47- 440- 295
111	5- 170- 161- 174- 179- 37- 47- 440- 55- 58- 295
112	5- 170- 161- 174- 179- 37- 47- 440- 184
113	5- 170- 161- 174- 179- 37- 47- 440- 184- 58
114	5- 170- 161- 174- 179- 37- 47- 440- 184- 55
115	5- 170- 161- 174- 179- 37- 47- 440- 184- 55- 58
116	5- 170- 22- 79- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295
117	5- 170- 51- 22- 55- 58- 295
118	5- 170- 51- 22- 184- 55- 58- 295
119	5- 170- 51- 22- 79- 174- 179- 37- 47- 440- 184- 55- 58- 295
120	5- 170- 51- 22- 79- 161- 184- 55- 58- 295
121	5- 170- 51- 22- 79- 161- 174- 58- 295
122	5- 170- 51- 22- 79- 161- 174- 179- 37
5- 170- 51- 22- 79- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295	0
5- 170- 51- 22- 79- 161- 174- 179- 440- 184- 55- 58- 295	1
5- 170- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295	2
5- 170- 161- 174- 179- 37- 440- 184- 55- 58- 295	3
5- 170- 161- 174- 179- 37- 47- 184- 55- 58- 295	4
5- 170- 161- 174- 179- 37- 47- 440- 184- 58- 295	5
5- 170- 174- 179- 37- 47- 440- 184- 55- 295	6
5- 170- 161- 174- 179- 37- 47- 440- 184- 55- 295	7
5- 170- 161- 174- 179- 47- 440- 184- 55- 295	8
5- 170- 161- 184- 55- 295	9
295	10
58- 295	11
55- 295	12
55- 58- 295	13
184- 58- 295	14
184- 55- 295	15
184- 55- 58- 295	16
440- 184- 55- 58- 295	17
47- 440- 184- 55- 58- 295	18
37- 47- 440- 184- 55- 58- 295	19
179- 37- 47- 440- 184- 55- 295	20
179- 37- 47- 440- 184- 55- 58- 295	21
174- 179- 37- 47- 440- 184- 58- 295	22
174- 179- 37- 47- 440- 184- 55- 58- 295	23
161- 184- 55- 295	24
161- 174- 179- 37- 47- 440- 184- 55- 58- 295	25
170- 161- 58- 295	26
170- 161- 184- 55- 295	27
170- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295	28
5	29
5- 295	30
5- 58- 295	31
5- 55- 295	32
5- 55- 58- 295	33
5- 184- 55- 295	34
5- 184- 55- 58- 295	35
5- 440- 184- 55- 58- 295	36
5- 47- 440- 184- 55- 295	37
5- 47- 440- 184- 55- 58- 295	38
5- 37- 47- 440- 58- 295	39
5- 37- 47- 440- 184- 55- 58- 295	40
5- 179- 37- 440- 184- 55- 58- 295	41
5- 179- 37- 47- 440- 184- 55- 58- 295	42
5- 174- 58- 295	43
5- 174- 179- 58- 295	44
5- 174- 179- 37- 47- 440- 184- 55- 58- 295	45
5- 161- 295	46
5- 161- 174- 179- 37- 47- 440- 184- 55- 295	47
5- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295	48
5- 170	49
5- 170- 295	50
5- 170- 58- 295	51
5- 170- 55- 295	52
5- 170- 55- 58- 295	53
5- 170- 184- 55- 295	54
5- 170- 184- 55- 58- 295	55
5- 170- 440- 184- 55- 58- 295	56
5- 170- 47- 440- 184- 55	57
5- 170- 47- 440- 184- 55- 58- 295	58
5- 170- 37- 47- 440- 184- 55- 58- 295	59
5- 170- 174- 179- 58- 295	60
5- 170- 174- 179- 47- 440- 184- 55- 295	61
5- 170- 174- 179- 37- 47	62
5- 170- 174- 179- 37- 47- 440- 184- 55- 58- 295	63
5- 170- 161	64
5- 170- 161- 295	65
5- 170- 161- 58- 295	66
5- 170- 161- 55- 295	67
5- 170- 161- 55- 58- 295	68
5- 170- 161- 184- 295	69
5- 170- 161- 184- 55	70
5- 170- 161- 184- 55- 58- 295	71
5- 170- 161- 440- 184- 58- 295	72
5- 170- 161- 440- 184- 55- 58- 295	73
5- 170- 161- 47- 440- 184- 55- 58- 295	74
5- 170- 161- 179- 37- 47- 440- 184- 55- 58- 295	75
5- 170- 161- 174	76
5- 170- 161- 174- 295	77
5- 170- 161- 174- 58	78
5- 170- 161- 174- 58- 295	79
5- 170- 161- 174- 55- 295	80
5- 170- 161- 174- 55- 58- 295	81
5- 170- 161- 174- 184- 295	82
5- 170- 161- 174- 184- 55- 58- 295	83
5- 170- 161- 174- 440- 184	84
5- 170- 161- 174- 440- 184- 55- 58- 295	85
5- 170- 161- 174- 47- 440- 184- 55- 58- 295	86
5- 170- 161- 174- 37- 47- 440- 184- 55- 58- 295	87
5- 170- 161- 174- 179	88
5- 170- 161- 174- 179- 58- 295	89
5- 170- 161- 174- 179- 55- 58- 295	90
5- 170- 161- 174- 179- 184- 295	91
5- 170- 161- 174- 179- 184- 55- 295	92
5- 170- 161- 174- 179- 440- 184- 55- 58- 295	93
5- 170- 161- 174- 179- 47- 58- 295	94
5- 170- 161- 174- 179- 47- 440	95
5- 170- 161- 174- 179- 47- 440- 184- 58- 295	96
5- 170- 161- 174- 179- 47- 440- 184- 55- 58- 295	97
5- 170- 161- 174- 179- 37	98
5- 170- 161- 174- 179- 37- 295	99
5- 170- 161- 174- 179- 37- 58- 295	100
5- 170- 161- 174- 179- 37- 55- 295	101
5- 170- 161- 174- 179- 37- 55- 58- 295	102
5- 170- 161- 174- 179- 37- 440- 184- 58- 295	103
5- 170- 161- 174- 179- 37- 440- 184- 55- 295	104
5- 170- 161- 174- 179- 37- 47- 58- 295	105
5- 170- 161- 174- 179- 37- 47- 55- 58- 295	106
5- 170- 161- 174- 179- 37- 47- 184- 55	107
5- 170- 161- 174- 179- 37- 47- 184- 55- 295	108
5- 170- 161- 174- 179- 37- 47- 440	109
5- 170- 161- 174- 179- 37- 47- 440- 295	110
5- 170- 161- 174- 179- 37- 47- 440- 55- 58- 295	111
5- 170- 161- 174- 179- 37- 47- 440- 184	112
5- 170- 161- 174- 179- 37- 47- 440- 184- 58	113
5- 170- 161- 174- 179- 37- 47- 440- 184- 55	114
5- 170- 161- 174- 179- 37- 47- 440- 184- 55- 58	115
5- 170- 22- 79- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295	116
5- 170- 51- 22- 55- 58- 295	117
5- 170- 51- 22- 184- 55- 58- 295	118
5- 170- 51- 22- 79- 174- 179- 37- 47- 440- 184- 55- 58- 295	119
5- 170- 51- 22- 79- 161- 184- 55- 58- 295	120
5- 170- 51- 22- 79- 161- 174- 58- 295	121
5- 170- 51- 22- 79- 161- 174- 179- 37	122
